id_registro,variable,valor
6219,departamento,TOTONICAPAN
6220,departamento,TOTONICAPAN
6221,departamento,TOTONICAPAN
6222,departamento,TOTONICAPAN
6223,departamento,TOTONICAPAN
6224,departamento,TOTONICAPAN
6225,departamento,TOTONICAPAN
6226,departamento,TOTONICAPAN
6227,departamento,TOTONICAPAN
6228,departamento,TOTONICAPAN
6229,departamento,TOTONICAPAN
6230,departamento,TOTONICAPAN
6231,departamento,TOTONICAPAN
6232,departamento,TOTONICAPAN
6233,departamento,TOTONICAPAN
6234,departamento,TOTONICAPAN
6235,departamento,TOTONICAPAN
6236,departamento,TOTONICAPAN
6237,departamento,TOTONICAPAN
6238,departamento,TOTONICAPAN
6239,departamento,TOTONICAPAN
6240,departamento,TOTONICAPAN
6241,departamento,TOTONICAPAN
6242,departamento,TOTONICAPAN
6243,departamento,TOTONICAPAN
6244,departamento,TOTONICAPAN
6245,departamento,TOTONICAPAN
6246,departamento,TOTONICAPAN
6247,departamento,TOTONICAPAN
6248,departamento,TOTONICAPAN
6249,departamento,TOTONICAPAN
6250,departamento,TOTONICAPAN
6251,departamento,TOTONICAPAN
6252,departamento,TOTONICAPAN
6253,departamento,TOTONICAPAN
6254,departamento,TOTONICAPAN
6255,departamento,TOTONICAPAN
6256,departamento,TOTONICAPAN
6257,departamento,TOTONICAPAN
6258,departamento,TOTONICAPAN
6259,departamento,TOTONICAPAN
6260,departamento,TOTONICAPAN
6261,departamento,TOTONICAPAN
6262,departamento,TOTONICAPAN
6263,departamento,TOTONICAPAN
6264,departamento,TOTONICAPAN
6265,departamento,TOTONICAPAN
6266,departamento,TOTONICAPAN
6267,departamento,TOTONICAPAN
6268,departamento,TOTONICAPAN
6269,departamento,TOTONICAPAN
6270,departamento,TOTONICAPAN
6271,departamento,TOTONICAPAN
6272,departamento,TOTONICAPAN
6273,departamento,TOTONICAPAN
6274,departamento,TOTONICAPAN
6275,departamento,TOTONICAPAN
6276,departamento,TOTONICAPAN
6277,departamento,TOTONICAPAN
6278,departamento,TOTONICAPAN
6279,departamento,TOTONICAPAN
6280,departamento,TOTONICAPAN
6281,departamento,TOTONICAPAN
6282,departamento,TOTONICAPAN
6283,departamento,TOTONICAPAN
6284,departamento,TOTONICAPAN
6285,departamento,TOTONICAPAN
6286,departamento,TOTONICAPAN
6287,departamento,TOTONICAPAN
6288,departamento,TOTONICAPAN
6289,departamento,TOTONICAPAN
6290,departamento,TOTONICAPAN
6291,departamento,TOTONICAPAN
6292,departamento,TOTONICAPAN
6293,departamento,TOTONICAPAN
6294,departamento,TOTONICAPAN
6295,departamento,TOTONICAPAN
6296,departamento,TOTONICAPAN
6297,departamento,TOTONICAPAN
6298,departamento,TOTONICAPAN
6299,departamento,TOTONICAPAN
